id,ley,resumen,ciudad,fecha_aprobacion,fecha_promulgacion,url,tema,subtemas,latitud,longitud
lp_11,00551,"PATRIMONIO TANGIBLE E INTANGIBLE.- Se Declara Patrimonio Histórico, Arquitectónico y Urbano del Municipio de La Paz, al inmueble ubicado en calle Belisario Salinas Esq. calle Heriberto Gutiérrez Nº 7, zona Sopocachi, Macrodistrito VII Centro, Distrito 1.",La Paz,21/02/2025,04/04/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00551.pdf,"patrimonio, cultura y turismo",Declaración de patrimonio tangible o intangible,,
lp_12,00553,"BIENES MUNICIPALES.- Se Autorizar la enajenación a título oneroso a favor de Mirtha Jovita Santamaria Gayoso con número de Cédula de Identidad 2629680 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral Nº 001-0886-0015, inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 197,60 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real Nº 2.01.0.99.0023954.",La Paz,26/03/2024,10/04/2024,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250002_2025_00553.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.447971,-68.145601
lp_13,00554,"BIENES MUNICIPALES.- Se Autorizar la enajenación a título oneroso a favor de Lusmila Elena Álvarez de Ruiz con No. de Cédula de Identidad 2682147 L.P. y José Luis Ruiz Gonzales con No. de Cédula de Identidad 2462796 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral No. 001- 0889-0017, inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 200,50 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real Nº 2.01.0.99.0023954.",La Paz,26/03/2025,30/04/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00554.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.447971,-68.145601
lp_14,00555,"TÉCNICO JURÍDICO.- La presente Ley Municipal Autonómica tiene por objeto elevar a rango de Ley Municipal Autonómica la Ordenanza Municipal Nº 047/2007 de 7 de febrero de 2007, así como ratificar el Convenio y Adenda Nº 1 suscritos por el Ministerio de Desarrollo Productivo y Economía Plural y el Gobierno Autónomo Municipal de La Paz, para la ejecución del proyecto ""Restauración y Refuncionalización como Uso Turístico de la Infraestructura de la Unidad Educativa San Simón de Ayacucho de La Paz"".",La Paz,27/03/2025,01/04/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00555.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.293881,-68.080319
lp_15,00556,"TÉCNICO JURÍDICO.- Autorizar la enajenación a título oneroso a favor de María Angélica Acho con No. de Cédula de Identidad 3470084 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral No. 001- 0890-0011, inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 184,30 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real Nº 2.01.0.99.0023954.",La Paz,27/03/2025,14/04/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00556.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.447971,-68.145601
lp_16,00557,"TÉCNICO JURÍDICO.- Autorizar la enajenación a título oneroso a favor de Rosa Monzón Mamani con número de Cédula de Identidad 2643608 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral Nº 001-0886-0014, inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 222,00 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real Nº 2.01.0.99.0023954",La Paz,27/03/2025,14/04/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_7602_2025_00557.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.447971,-68.145601
lp_17,00559,"HONORES,DISTINCIONES Y HOMENAJES.- La presente Ley Municipal Autonómica tiene por objeto Declarar ""HEROÍNA DE LA CIUDAD DE LA PAZ, A LA VIRGEN DEL CARMEN"", por haberse instaurado en un símbolo de la gesta libertaria del 16 de Julio de 1809.",La Paz,30/07/2025,01/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00559.pdf,Reconocimiento a ciudadanos u organizaciones destacadas,,-16.496082,-68.132067
lp_18,00561,"BIENES MUNICIPALES.- Autorizar la enajenación a título oneroso a favor de Sandra Rocío Maldonado Rodríguez con No. de céula de identidad 4784483 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral No. 001-0887-0010consignado como PM-99, de la manzana E, inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 222,22 m-, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real N° 2.01.0.99.0023954",La Paz,06/10/2025,06/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00561.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.447971,-68.145601
lp_19,00562,"BIENES MUNICIPALES.- Autorizar la enajenación a título oneroso a favor de Carlos Nogales Álvarez con cédula de identidad No. 2705042 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral No. 001- 0817-0011, consignado como PM-58, manzano C, inmerso en la Planimetria de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 202.90 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real N° 2.01.0.99.0023954.",La Paz,06/10/2025,06/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00562.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.447971,-68.145601
lp_20,00563,"BIENES MUNICIPALES.- Autorizar la enajenación a título oneroso a favor de Felipa Quispe Calcina con No. de cédula de identidad 4281290 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral No. 001-0500-0001, consignado como Lote N° 7, manzano C, inmerso en la Planimetría de Remodelación"" Anexo Las Nieves Salomé"", con una superficie de 192,11 m2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real N° 2.01.0.99.0023954.",La Paz,06/10/2025,06/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00563.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.44876,-68.143617
lp_21,00564,"BIENES MUNICIPALES.- Autorizar la enajenación a título oneroso a favor de Rosario Gladys Cruz Yujra, con de Cédula de Identidad N° 4813350 L.P. del predio de propiedad del Gobierno Autónomo Municipal de La Paz, con código de registro catastral N° 001- 0898-0004,consignado como PM 294, manzano S/N 19, inmerso en la Planimetría de Sustitución de la Remodelación ""Villa de Las Nieves"", con una superficie de 201,40rn2, registrado en las Oficinas de Derechos Reales, dentro de una superficie mayor inscrita bajo la Matrícula de Folio Real N° 2.01.0.99.0023954",La Paz,06/10/2025,06/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00564.pdf,suelo y vivienda,Reversión de bienes inmuebles de la alcaldía a otras organizaciones de la sociedad,-16.447971,-68.145601
lp_22,00565,ESTRUCTURA URBANA Y RURAL.- La presente Ley Municipal Autonómica tiene por objeto complementar las Leyes Municipales N° 027 de 23 de octubre de 2012 y Nº 029 de de 10 de diciembre de 2012 y AUTORIZAR la reubicación en la Urbanización Taypijahuira a los damnificados del Megadeslizamiento suscitado el año 2011 correspondientes a la Segunda Fase.,La Paz,10/10/2025,10/10/2025,http://wsservicios.lapaz.bo/normativa_externa/ConsultaExternaDocumento.aspx?archivo=2025/LM_250009_2025_00565.pdf,gestión de riesgos,"emergencia municipal por lluvias, inundaciones y deslizamientos",-16.5158,-68.10395
